Artist,Track,Featuring Artist,Streams,Album,Release Date,Album Cover,Artist Image
Denzel Curry,ULT,0,56,Imperial,2016-10-14,https://i.scdn.co/image/ab67616d0000b273166442984ba98f0a2dcaea5e,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Gook,0,52,Imperial,2016-10-14,https://i.scdn.co/image/ab67616d0000b273166442984ba98f0a2dcaea5e,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Sick & Tired,0,45,Imperial,2016-10-14,https://i.scdn.co/image/ab67616d0000b273166442984ba98f0a2dcaea5e,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Knotty Head,1,50,Imperial,2016-10-14,https://i.scdn.co/image/ab67616d0000b273166442984ba98f0a2dcaea5e,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Me Now,0,45,Imperial,2016-10-14,https://i.scdn.co/image/ab67616d0000b273166442984ba98f0a2dcaea5e,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Story: No Title,0,44,Imperial,2016-10-14,https://i.scdn.co/image/ab67616d0000b273166442984ba98f0a2dcaea5e,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,This Life,0,61,Imperial,2016-10-14,https://i.scdn.co/image/ab67616d0000b273166442984ba98f0a2dcaea5e,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Zenith,1,55,Imperial,2016-10-14,https://i.scdn.co/image/ab67616d0000b273166442984ba98f0a2dcaea5e,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Good Night,1,49,Imperial,2016-10-14,https://i.scdn.co/image/ab67616d0000b273166442984ba98f0a2dcaea5e,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,If Tomorrow's Not Here,1,47,Imperial,2016-10-14,https://i.scdn.co/image/ab67616d0000b273166442984ba98f0a2dcaea5e,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
